item-id,item-name,item-description,project-group,project-name,order,year-start,year-end,github-repo,github-oldcode,has-content,_db: access,_db: sql_server,_db: mysql,_db: mongodb,_ft: asp,_ft: aspnet,_ft: django,_ft: express,_ft: angular,_ft: slim,_ln: html,_ln: css,_ln: sass,_ln: python,_ln: java,_ln: php,_ln: bash,_ln: vbnet,_ln: c_sharp,_ln: sql,_ln: javascript,_ln: ruby,_ln: typescript,_ln: yaml,_ln: vbscript,_ln: vimscript,_ln: c,_ln: mumps
cso,Collegiate Sports website and store,Online store/shopping cart; website with content management,shopping,,42,2003,2005,,,1,,1,,,1,1,,,,,1,1,,,,,,,1,1,1,,,,1,,,
visual_sort,Visualization of sorting algorithms,Implementation + animation of the relative performance of different sorting algorithm,algvis,,41,2004,2004,,2004-sort-algorithm-visualization,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
visual_tree,Visualization of BST traversals,Animations of binary search tree creation and pre-/in-/post-/level-order traversals. Includes implementations of relevant data structures,algvis,,40,2004,2004,,2004-bst-traversal-visualization,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
uni_ask,UNI Ask,Website (searching/browsing UI for an FAQ collection) with content management,cms,,39,2004,2004,,,1,,1,,,,1,,,,,1,1,,,,,,1,,1,1,,,,,,,
uni_ca_mycaccess,Camp Adventure: MyCAccess ,"Online community. Calendars, tasks, reminders, messages, discussion forum. Fine-grained authorization model",cms,,38,2004,2004,,,1,,1,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
uni_ca_iyc,Camp Adventure: International Youth Camp,"Online community similar to MyCAccess, with more features (personal journals, schedules, events, photos, groups, etc.)",cms,,37,2003,2003,,,1,,1,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
uni_printservices,UNI Print Services,"Website, product ordering system, content management. Java used to render the product being ordered using provided content",cms,,36,2003,2003,,,1,,1,,,1,,,,,,1,1,,,1,,,,,1,1,,,,1,,,
uni_newsroom,UNI Newsroom,Content management tools for the university's online newsroom,cms,,35,2002,2003,,,,1,,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
uni_iowaindtech,Iowa Industrial Technology,Website with content management: several content types and basic user authentication,cms,,34,2003,2003,,,,1,,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
uni_rrttc,RRTTC,Recycling and Reuse Technology Transfer Center: website with content management: several content types and basic user authentication,cms,,33,2002,2002,,,,1,,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
uni_comstudy,UNI Department of Communication,Website with content management: several content types and basic user authentication ,cms,,32,2002,2002,,,1,1,,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
uni_chfatech,UNI CHFA Technology Service,My first content management system,cms,,31,2001,2001,,,1,1,,,,1,,,,,,1,1,,,,,,,,1,1,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,commpred.org,30,2009,2009,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA Assembly 2010,29,2009,2009,,,,,,,,,1,,,,,1,1,,,,,,,1,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA Assembly 2009,28,2008,2008,,,,,,,,,1,,,,,1,1,,,,,,,1,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA Assembly 2008,27,2007,2007,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA conference 2007,26,2007,2007,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSIC,25,2007,2007,,,,,,,,,1,,,,,1,1,,,,,,,1,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA Assembly 2007,24,2006,2006,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA conference 2006,23,2006,2006,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,
